Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
Exceeding Target,0.83,0.83,0.87
Exceeding Target,0.85,0.84,0.81
Meeting Target,0.9,0.93,0.95
Meeting Target,0.82,0.86,0.69
Approaching Target,0.85,0.87,0.85
Exceeding Target,0.91,0.91,0.92
Approaching Target,0.66,0.66,0.73
Meeting Target,0.85,0.91,0.88
Exceeding Target,0.89,0.95,0.94
Approaching Target,0.84,0.88,0.77
Meeting Target,0.9,0.94,0.92
Meeting Target,0.8,0.75,0.82
Exceeding Target,0.93,0.96,0.96
Meeting Target,0.86,0.93,0.91
Approaching Target,0.79,0.87,0.85
Exceeding Target,0.78,0.74,0.79
Exceeding Target,0.92,0.97,0.95
Approaching Target,0.77,0.67,0.8
Meeting Target,0.76,0.88,0.72
Exceeding Target,0.88,0.89,0.82
Exceeding Target,0.8,0.88,0.78
Approaching Target,0.79,0.78,0.65
Approaching Target,0.8,0.86,0.68
Not Meeting Target,0.74,0.79,0.64
Meeting Target,0.81,0.85,0.77
Approaching Target,0.83,0.91,0.74
Meeting Target,0.69,0.67,0.68
Exceeding Target,0.86,0.91,0.87
Exceeding Target,0.88,0.96,0.85
Exceeding Target,0.73,0.8,0.65
Meeting Target,0.91,0.97,0.88
Exceeding Target,0.93,0.98,0.93
Meeting Target,0.8,0.81,0.85
Meeting Target,0.85,0.92,0.81
Meeting Target,0.86,0.94,0.93
Exceeding Target,0.85,0.93,0.88
Meeting Target,0.86,0.93,0.8
Approaching Target,0.77,0.83,0.66
Not Meeting Target,0.76,0.77,0.8
Approaching Target,0.84,0.89,0.8
Meeting Target,0.78,0.83,0.8
Approaching Target,0.95,0.98,0.98
Not Meeting Target,0.85,0.78,0.72
Meeting Target,0.84,0.89,0.77
Approaching Target,0.87,0.95,0.84
Meeting Target,0.88,0.96,0.9
Approaching Target,0.74,0.83,0.64
Exceeding Target,0.82,0.86,0.81
Approaching Target,0.73,0.9,0.77
Exceeding Target,0.84,0.96,0.8
Approaching Target,0.89,0.98,0.94
Meeting Target,0.76,0.81,0.73
Exceeding Target,0.9,0.92,0.81
Approaching Target,0.84,0.81,0.84
Approaching Target,0.8,0.87,0.83
Exceeding Target,0.86,0.81,0.82
Exceeding Target,0.93,0.98,0.91
Exceeding Target,0.82,0.9,0.84
Approaching Target,0.86,0.83,0.79
Meeting Target,0.86,0.91,0.71
Meeting Target,0.85,0.83,0.73
Approaching Target,0.81,0.86,0.77
Exceeding Target,0.95,0.95,0.94
Meeting Target,0.82,0.96,0.79
Not Meeting Target,0.74,0.76,0.65
Approaching Target,0.87,0.9,0.81
Exceeding Target,0.88,0.95,0.9
Meeting Target,0.87,0.83,0.75
Approaching Target,0.58,0.65,0.72
Exceeding Target,0.97,0.99,0.93
Meeting Target,0.83,0.88,0.7
Meeting Target,0.77,0.9,0.8
Exceeding Target,0.9,0.94,0.8
Meeting Target,0.78,0.74,0.62
Not Meeting Target,0.76,0.81,0.71
Approaching Target,0.85,0.76,0.76
Approaching Target,0.78,0.85,0.75
Approaching Target,0.79,0.84,0.67
Meeting Target,0.8,0.91,0.71
Meeting Target,0.85,0.86,0.79
Approaching Target,0.84,0.88,0.78
Not Meeting Target,0.76,0.88,0.78
Approaching Target,0.78,0.82,0.7
Meeting Target,0.81,0.81,0.68
Not Meeting Target,0.67,0.74,0.56
Approaching Target,0.79,0.96,0.82
Meeting Target,0.87,0.9,0.73
Approaching Target,0.81,0.8,0.84
Approaching Target,0.86,0.91,0.85
Approaching Target,0.66,0.76,0.67
Approaching Target,0.77,0.88,0.76
Approaching Target,0.81,0.82,0.81
Meeting Target,0.87,0.95,0.72
Approaching Target,0.77,0.81,0.64
Meeting Target,0.63,0.73,0.63
Meeting Target,0.78,0.84,0.75
Meeting Target,0.9,0.96,0.77
Approaching Target,0.75,0.82,0.77
Meeting Target,0.88,0.91,0.83
Exceeding Target,0.94,0.95,0.94
Approaching Target,0.77,0.85,0.76
Exceeding Target,0.89,0.9,0.9
Meeting Target,0.84,0.88,0.79
Meeting Target,0.86,0.89,0.84
Meeting Target,0.93,0.98,0.94
Approaching Target,0.88,0.91,0.77
Approaching Target,0.93,0.95,0.91
Approaching Target,0.76,0.75,0.76
Not Meeting Target,0.72,0.7,0.67
Approaching Target,0.76,0.81,0.89
Meeting Target,0.84,0.89,0.7
Not Meeting Target,0.66,0.83,0.69
Approaching Target,0.69,0.81,0.73
Approaching Target,0.81,0.86,0.78
Exceeding Target,0.78,0.86,0.69
Exceeding Target,0.81,0.89,0.75
Exceeding Target,0.52,0.72,0.63
Approaching Target,0.63,0.62,0.59
Approaching Target,0.73,0.81,0.76
Approaching Target,0.88,0.91,0.85
Approaching Target,0.71,0.79,0.67
Approaching Target,0.75,0.74,0.7
Meeting Target,0.86,0.92,0.74
Meeting Target,0.76,0.79,0.69
Approaching Target,0.9,0.86,0.78
Approaching Target,0.84,0.9,0.75
Meeting Target,0.87,0.95,0.76
Approaching Target,0.86,0.9,0.79
Approaching Target,0.88,0.86,0.86
Approaching Target,0.7,0.71,0.66
Approaching Target,0.85,0.84,0.83
Meeting Target,0.82,0.87,0.74
Not Meeting Target,0.8,0.85,0.76
Meeting Target,0.77,0.82,0.67
Exceeding Target,0.78,0.88,0.83
Meeting Target,0.85,0.85,0.75
Exceeding Target,0.86,0.93,0.89
Meeting Target,0.83,0.87,0.79
Meeting Target,0.86,0.95,0.76
Meeting Target,0.77,0.8,0.83
Exceeding Target,0.88,0.95,0.89
Meeting Target,0.94,0.98,0.94
Exceeding Target,0.86,0.93,0.91
Meeting Target,0.88,0.92,0.79
Exceeding Target,0.85,0.94,0.89
Exceeding Target,0.96,0.97,0.98
Exceeding Target,0.85,0.92,0.88
Meeting Target,0.82,0.86,0.87
Meeting Target,0.86,0.93,0.79
Meeting Target,0.87,0.9,0.91
Meeting Target,0.81,0.87,0.82
Exceeding Target,0.89,0.91,0.86
Exceeding Target,0.84,0.84,0.75
Approaching Target,0.8,0.82,0.86
Exceeding Target,0.86,0.94,0.79
Exceeding Target,0.9,0.94,0.94
Exceeding Target,0.72,0.76,0.83
Meeting Target,0.74,0.76,0.67
Meeting Target,0.83,0.85,0.75
Approaching Target,0.81,0.88,0.74
Meeting Target,0.79,0.82,0.69
Exceeding Target,0.87,0.9,0.88
Exceeding Target,0.86,0.94,0.8
Exceeding Target,0.89,0.83,0.91
Exceeding Target,0.93,0.96,0.97
Meeting Target,0.8,0.87,0.82
Meeting Target,0.78,0.79,0.82
Exceeding Target,0.86,0.91,0.81
Exceeding Target,0.89,0.94,0.91
Exceeding Target,0.79,0.82,0.69
Meeting Target,0.89,0.92,0.87
Meeting Target,0.79,0.81,0.84
Meeting Target,0.66,0.69,0.67
Meeting Target,0.91,0.96,0.85
Meeting Target,0.83,0.92,0.77
Meeting Target,0.82,0.89,0.88
Exceeding Target,0.89,0.94,0.8
Exceeding Target,0.92,0.98,0.89
Meeting Target,0.9,0.94,0.91
Exceeding Target,0.89,0.94,0.97
Meeting Target,0.89,0.91,0.88
Meeting Target,0.88,0.91,0.87
Meeting Target,0.8,0.8,0.91
Meeting Target,0.87,0.95,0.91
Approaching Target,0.63,0.63,0.48
Meeting Target,0.79,0.78,0.81
Exceeding Target,0.82,0.89,0.75
Exceeding Target,0.75,0.81,0.76
Meeting Target,0.92,0.96,0.95
Meeting Target,0.76,0.84,0.78
Meeting Target,0.72,0.67,0.64
Meeting Target,0.84,0.89,0.78
Meeting Target,0.83,0.88,0.73
Meeting Target,0.81,0.85,0.68
Exceeding Target,0.88,0.9,0.79
Exceeding Target,0.96,0.98,0.98
Exceeding Target,0.74,0.8,0.73
Meeting Target,0.74,0.71,0.65
Meeting Target,0.73,0.75,0.68
Approaching Target,0.67,0.78,0.63
Meeting Target,0.86,0.97,0.68
Meeting Target,0.83,0.84,0.7
Meeting Target,0.84,0.92,0.7
Approaching Target,0.88,0.92,0.88
Approaching Target,0.91,0.95,0.86
Meeting Target,0.79,0.69,0.59
Approaching Target,0.84,0.95,0.89
Exceeding Target,0.94,0.97,0.98
Approaching Target,0.79,0.78,0.73
Approaching Target,0.74,0.83,0.7
Meeting Target,0.75,0.78,0.82
Meeting Target,0.79,0.94,0.81
Meeting Target,0.78,0.82,0.84
Meeting Target,0.87,0.93,0.91
Approaching Target,0.83,0.84,0.78
Meeting Target,0.71,0.84,0.72
Meeting Target,0.81,0.87,0.72
Meeting Target,0.82,0.88,0.7
Meeting Target,0.84,0.91,0.89
Exceeding Target,0.88,0.94,0.92
Meeting Target,0.84,0.87,0.7
Approaching Target,0.88,0.95,0.89
Approaching Target,0.7,0.69,0.62
Meeting Target,0.91,0.99,0.95
Approaching Target,0.74,0.81,0.75
Meeting Target,0.75,0.89,0.86
Meeting Target,0.83,0.85,0.83
Approaching Target,0.83,0.9,0.89
Meeting Target,0.85,0.88,0.69
Meeting Target,0.84,0.86,0.83
Meeting Target,0.83,0.84,0.75
Exceeding Target,0.86,0.97,0.77
Meeting Target,0.77,0.78,0.75
Meeting Target,0.82,0.86,0.75
Approaching Target,0.69,0.88,0.65
Meeting Target,0.84,0.94,0.78
Approaching Target,0.75,0.75,0.63
Exceeding Target,0.88,0.95,0.82
Approaching Target,0.82,0.96,0.78
Approaching Target,0.76,0.73,0.74
Meeting Target,0.78,0.77,0.67
Approaching Target,0.7,0.75,0.71
Approaching Target,0.86,0.87,0.72
Approaching Target,0.81,0.86,0.72
Meeting Target,0.72,0.78,0.81
Approaching Target,0.85,0.94,0.73
Meeting Target,0.71,0.78,0.63
Approaching Target,0.84,0.86,0.76
Approaching Target,0.85,0.88,0.61
Meeting Target,0.87,0.94,0.92
Exceeding Target,0.97,0.99,0.98
Meeting Target,0.86,0.93,0.81
Meeting Target,0.85,0.93,0.78
Meeting Target,0.73,0.8,0.78
Meeting Target,0.91,0.93,0.8
Approaching Target,0.78,0.84,0.68
Meeting Target,0.79,0.8,0.73
Meeting Target,0.81,0.82,0.89
Approaching Target,0.86,0.88,0.87
Approaching Target,0.77,0.82,0.76
Meeting Target,0.82,0.84,0.85
Meeting Target,0.82,0.89,0.86
Meeting Target,0.83,0.88,0.74
Exceeding Target,0.68,0.7,0.81
Meeting Target,0.72,0.67,0.68
Meeting Target,0.84,0.88,0.9
Approaching Target,0.88,0.78,0.81
Exceeding Target,0.75,0.74,0.7
Meeting Target,0.8,0.87,0.75
Meeting Target,0.81,0.88,0.83
Approaching Target,0.81,0.95,0.66
Not Meeting Target,0.66,0.76,0.76
Meeting Target,0.78,0.82,0.78
Meeting Target,0.88,0.9,0.87
Meeting Target,0.82,0.86,0.74
Exceeding Target,0.79,0.81,0.8
Meeting Target,0.79,0.84,0.83
Meeting Target,0.92,0.94,0.9
Meeting Target,0.81,0.79,0.67
Meeting Target,0.85,0.9,0.77
Meeting Target,0.81,0.84,0.68
Approaching Target,0.7,0.66,0.77
Meeting Target,0.83,0.92,0.86
Meeting Target,0.77,0.82,0.8
Meeting Target,0.79,0.89,0.86
Meeting Target,0.88,0.94,0.9
Meeting Target,0.81,0.88,0.87
Exceeding Target,0.78,0.85,0.8
Meeting Target,0.76,0.7,0.83
Meeting Target,0.83,0.86,0.79
Approaching Target,0.71,0.8,0.67
Exceeding Target,0.87,0.8,0.79
Meeting Target,0.78,0.86,0.79
Meeting Target,0.86,0.86,0.9
Exceeding Target,0.91,0.95,0.93
Exceeding Target,0.8,0.81,0.91
Meeting Target,0.83,0.85,0.72
Exceeding Target,0.79,0.79,0.79
Meeting Target,0.89,0.96,0.91
Meeting Target,0.84,0.92,0.9
Exceeding Target,0.81,0.82,0.9
Meeting Target,0.83,0.85,0.88
Meeting Target,0.9,0.94,0.96
Meeting Target,0.91,0.91,0.95
Exceeding Target,0.81,0.79,0.89
Meeting Target,0.8,0.85,0.71
Exceeding Target,0.84,0.88,0.87
Meeting Target,0.91,0.95,0.88
Meeting Target,0.94,0.98,0.98
Meeting Target,0.84,0.89,0.76
Meeting Target,0.79,0.81,0.7
Meeting Target,0.88,0.93,0.9
Approaching Target,0.78,0.79,0.69
Approaching Target,0.79,0.85,0.66
Approaching Target,0.8,0.85,0.9
Approaching Target,0.87,0.93,0.94
Meeting Target,0.81,0.83,0.77
Exceeding Target,0.67,0.55,0.68
Meeting Target,0.77,0.76,0.65
Meeting Target,0.75,0.76,0.64
Approaching Target,0.82,0.82,0.74
Exceeding Target,0.81,0.78,0.74
Meeting Target,0.83,0.92,0.7
Exceeding Target,0.86,0.81,0.77
Meeting Target,0.83,0.87,0.74
Meeting Target,0.92,0.97,0.98
Exceeding Target,0.91,0.89,0.94
Meeting Target,0.93,0.97,0.95
Exceeding Target,0.93,0.96,0.98
Meeting Target,0.85,0.94,0.94
Meeting Target,0.83,0.86,0.69
Meeting Target,0.84,0.91,0.73
Exceeding Target,0.93,0.91,0.95
Meeting Target,0.87,0.84,0.91
Meeting Target,0.84,0.93,0.92
Meeting Target,0.84,0.92,0.84
Meeting Target,0.71,0.67,0.65
Meeting Target,0.87,0.91,0.92
Approaching Target,0.72,0.72,0.87
Meeting Target,0.69,0.65,0.66
Exceeding Target,0.9,0.91,0.91
Meeting Target,0.8,0.83,0.73
Meeting Target,0.83,0.83,0.86
Exceeding Target,0.85,0.91,0.83
Meeting Target,0.94,0.97,0.99
Exceeding Target,0.9,0.96,0.93
Meeting Target,0.81,0.95,0.88
Meeting Target,0.89,0.91,0.92
Exceeding Target,0.85,0.83,0.75
Meeting Target,0.95,0.95,0.97
Meeting Target,0.82,0.84,0.67
Approaching Target,0.87,0.86,0.83
Approaching Target,0.71,0.72,0.75
Approaching Target,0.74,0.74,0.68
Exceeding Target,0.86,0.94,0.83
Approaching Target,0.9,0.9,0.79
Approaching Target,0.87,0.92,0.94
Exceeding Target,0.85,0.91,0.85
Approaching Target,0.89,0.93,0.93
Meeting Target,0.86,0.87,0.86
Meeting Target,0.87,0.87,0.88
Meeting Target,0.82,0.91,0.84
Exceeding Target,0.83,0.93,0.87
Meeting Target,0.77,0.87,0.79
Meeting Target,0.89,0.81,0.89
Approaching Target,0.78,0.81,0.78
Meeting Target,0.86,0.92,0.9
Meeting Target,0.9,0.96,0.9
Approaching Target,0.79,0.8,0.68
Approaching Target,0.83,0.88,0.74
Meeting Target,0.85,0.87,0.88
Meeting Target,0.83,0.88,0.75
Approaching Target,0.82,0.85,0.76
Approaching Target,0.81,0.87,0.75
Meeting Target,0.84,0.89,0.73
Meeting Target,0.85,0.93,0.73
Exceeding Target,0.88,0.94,0.88
Meeting Target,0.82,0.77,0.76
Exceeding Target,0.89,0.9,0.87
Approaching Target,0.85,0.93,0.75
Approaching Target,0.84,0.91,0.79
Approaching Target,0.68,0.59,0.62
Approaching Target,0.83,0.9,0.84
Approaching Target,0.78,0.78,0.65
Exceeding Target,0.88,0.92,0.85
Meeting Target,0.79,0.85,0.81
Not Meeting Target,0.85,0.87,0.86
Approaching Target,0.84,0.91,0.73
Approaching Target,0.84,0.85,0.87
Exceeding Target,0.81,0.77,0.75
Approaching Target,0.93,0.93,0.87
Approaching Target,0.82,0.83,0.79
Approaching Target,0.77,0.84,0.69
Meeting Target,0.93,0.98,0.93
Meeting Target,0.88,0.86,0.78
Meeting Target,0.84,0.86,0.79
Exceeding Target,0.87,0.89,0.81
Approaching Target,0.66,0.66,0.53
Exceeding Target,0.91,0.89,0.93
Meeting Target,0.83,0.94,0.69
Meeting Target,0.91,0.92,0.9
Meeting Target,0.73,0.82,0.79
Meeting Target,0.85,0.85,0.81
Approaching Target,0.88,0.8,0.89
Meeting Target,0.82,0.95,0.89
Approaching Target,0.68,0.66,0.62
Approaching Target,0.64,0.7,0.64
Meeting Target,0.69,0.69,0.74
Meeting Target,0.7,0.76,0.74
Exceeding Target,0.87,0.91,0.91
Meeting Target,0.95,0.95,0.98
Approaching Target,0.76,0.87,0.83
Approaching Target,0.9,0.92,0.91
Approaching Target,0.78,0.83,0.8
Exceeding Target,0.74,0.88,0.67
Meeting Target,0.87,0.96,0.93
Exceeding Target,0.85,0.81,0.73
Approaching Target,0.85,0.92,0.78
Exceeding Target,0.88,0.93,0.93
Not Meeting Target,0.81,0.91,0.75
Approaching Target,0.77,0.76,0.88
Approaching Target,0.9,0.97,0.92
Meeting Target,0.73,0.78,0.72
Approaching Target,0.76,0.63,0.64
Exceeding Target,0.92,0.94,0.95
Approaching Target,0.84,0.95,0.88
Meeting Target,0.87,0.93,0.74
Approaching Target,0.84,0.91,0.85
Meeting Target,0.88,0.82,0.78
Meeting Target,0.76,0.81,0.67
Meeting Target,0.75,0.66,0.66
Meeting Target,0.87,0.88,0.8
Approaching Target,0.82,0.82,0.71
Meeting Target,0.79,0.83,0.73
Exceeding Target,0.73,0.69,0.65
Meeting Target,0.82,0.8,0.71
Approaching Target,0.8,0.86,0.75
Not Meeting Target,0.91,0.95,0.93
Meeting Target,0.89,0.86,0.88
Approaching Target,0.79,0.71,0.71
Not Meeting Target,0.73,0.76,0.67
Approaching Target,0.78,0.84,0.69
Approaching Target,0.87,0.95,0.89
Approaching Target,0.76,0.83,0.72
Approaching Target,0.85,0.92,0.67
Approaching Target,0.92,0.95,0.95
Approaching Target,0.79,0.82,0.67
Approaching Target,0.8,0.79,0.69
Approaching Target,0.79,0.83,0.8
Exceeding Target,0.78,0.66,0.84
Approaching Target,0.86,0.96,0.86
Approaching Target,0.69,0.67,0.6
Approaching Target,0.76,0.76,0.74
Approaching Target,0.81,0.8,0.77
Meeting Target,0.79,0.85,0.7
Not Meeting Target,0.84,0.85,0.77
Not Meeting Target,0.87,0.91,0.86
Approaching Target,0.85,0.86,0.83
Meeting Target,0.76,0.76,0.75
Approaching Target,0.95,0.89,0.94
Not Meeting Target,0.88,0.93,0.84
Approaching Target,0.81,0.86,0.69
Approaching Target,0.74,0.76,0.64
Approaching Target,0.82,0.85,0.83
Approaching Target,0.75,0.76,0.63
Approaching Target,0.89,0.88,0.81
Approaching Target,0.82,0.86,0.67
Meeting Target,0.8,0.84,0.66
Not Meeting Target,0.82,0.88,0.67
Meeting Target,0.81,0.84,0.8
Approaching Target,0.79,0.8,0.62
Approaching Target,0.85,0.97,0.73
Meeting Target,0.77,0.86,0.7
Exceeding Target,0.89,0.96,0.95
Exceeding Target,0.88,0.94,0.77
Exceeding Target,0.87,0.85,0.87
Approaching Target,0.71,0.72,0.72
Meeting Target,0.88,0.91,0.88
Meeting Target,0.86,0.75,0.9
Meeting Target,0.72,0.78,0.63
Meeting Target,0.87,0.85,0.76
Meeting Target,0.93,0.9,0.97
Meeting Target,0.83,0.78,0.84
Meeting Target,0.82,0.87,0.85
Approaching Target,0.76,0.78,0.67
Approaching Target,0.86,0.91,0.81
Exceeding Target,0.81,0.83,0.79
Meeting Target,0.8,0.81,0.74
Meeting Target,0.78,0.81,0.76
Meeting Target,0.87,0.88,0.75
Meeting Target,0.82,0.8,0.76
Approaching Target,0.81,0.88,0.86
Approaching Target,0.76,0.82,0.79
Meeting Target,0.81,0.83,0.84
Meeting Target,0.92,0.93,0.91
Exceeding Target,0.89,0.87,0.91
Meeting Target,0.88,0.89,0.93
Approaching Target,0.61,0.69,0.57
Meeting Target,0.72,0.73,0.67
Meeting Target,0.86,0.91,0.87
Exceeding Target,0.88,0.89,0.81
Meeting Target,0.82,0.9,0.72
Exceeding Target,0.88,0.79,0.89
Meeting Target,0.93,0.98,0.92
Meeting Target,0.79,0.84,0.83
Meeting Target,0.86,0.81,0.81
Exceeding Target,0.84,0.9,0.72
Exceeding Target,0.84,0.65,0.81
Exceeding Target,0.88,0.86,0.81
Meeting Target,0.79,0.85,0.86
Meeting Target,0.76,0.82,0.71
Meeting Target,0.85,0.93,0.93
Exceeding Target,0.83,0.86,0.87
Exceeding Target,1,0.99,0.99
Meeting Target,0.9,0.97,0.91
Meeting Target,0.88,0.92,0.78
Meeting Target,0.98,1,0.99
Meeting Target,0.88,0.87,0.84
Meeting Target,0.89,0.93,0.92
Approaching Target,0.77,0.91,0.71
Meeting Target,0.64,0.72,0.53
Approaching Target,0.8,0.87,0.77
Meeting Target,0.77,0.91,0.83
Meeting Target,0.87,0.92,0.86
Meeting Target,0.77,0.87,0.74
Meeting Target,0.92,0.99,0.92
Approaching Target,0.81,0.83,0.73
Meeting Target,0.87,0.94,0.83
Meeting Target,0.87,0.94,0.82
Meeting Target,0.8,0.87,0.69
Approaching Target,0.91,0.96,0.95
Meeting Target,0.9,0.96,0.94
Approaching Target,0.74,0.92,0.76
Meeting Target,0.84,0.89,0.81
Meeting Target,0.84,0.86,0.77
Exceeding Target,0.97,0.99,0.98
Approaching Target,0.91,0.79,0.88
Approaching Target,0.82,0.89,0.84
Meeting Target,0.85,0.9,0.81
Meeting Target,0.86,0.82,0.75
Meeting Target,0.85,0.92,0.9
Approaching Target,0.47,0.58,0.49
Meeting Target,0.85,0.93,0.86
Approaching Target,0.83,0.94,0.75
Meeting Target,0.81,0.86,0.69
Approaching Target,0.68,0.7,0.6
Exceeding Target,0.91,0.99,0.98
Approaching Target,0.81,0.87,0.68
Meeting Target,0.85,0.96,0.91
Meeting Target,0.89,0.97,0.93
Exceeding Target,0.9,0.92,0.9
Approaching Target,0.88,0.94,0.88
Approaching Target,0.86,0.91,0.87
Approaching Target,0.81,0.86,0.72
Meeting Target,0.79,0.9,0.85
Not Meeting Target,0.86,0.83,0.85
Meeting Target,0.72,0.81,0.63
Meeting Target,0.87,0.94,0.79
Exceeding Target,0.92,0.98,0.95
Approaching Target,0.87,0.82,0.85
Meeting Target,0.8,0.82,0.68
Exceeding Target,0.71,0.78,0.67
Meeting Target,0.89,0.97,0.79
Approaching Target,0.75,0.8,0.66
Exceeding Target,0.81,0.87,0.67
Meeting Target,0.84,0.79,0.71
Meeting Target,0.8,0.79,0.77
Approaching Target,0.82,0.9,0.9
Exceeding Target,0.82,0.92,0.84
Meeting Target,0.8,0.9,0.85
Meeting Target,0.91,0.91,0.88
Approaching Target,0.87,0.91,0.88
Approaching Target,0.88,0.92,0.88
Meeting Target,0.84,0.85,0.79
Meeting Target,0.8,0.76,0.77
Meeting Target,0.94,0.98,0.94
Meeting Target,0.8,0.81,0.69
Approaching Target,0.8,0.86,0.79
Meeting Target,0.81,0.92,0.72
Meeting Target,0.79,0.85,0.71
Exceeding Target,0.93,0.98,0.94
Approaching Target,0.78,0.82,0.65
Approaching Target,0.8,0.83,0.69
Meeting Target,0.79,0.8,0.73
Exceeding Target,0.95,0.96,0.92
Approaching Target,0.88,0.95,0.84
Meeting Target,0.9,0.92,0.86
Exceeding Target,0.99,0.96,1
Meeting Target,0.77,0.71,0.7
Exceeding Target,0.78,0.83,0.69
Meeting Target,0.76,0.51,0.64
Meeting Target,0.83,0.86,0.75
Approaching Target,0.93,0.97,0.87
Exceeding Target,0.78,0.85,0.64
Meeting Target,0.84,0.77,0.7
Meeting Target,0.83,0.94,0.77
Meeting Target,0.8,0.87,0.49
Exceeding Target,0.82,0.82,0.69
Exceeding Target,0.87,0.92,0.76
Not Meeting Target,0.72,0.63,0.71
Meeting Target,0.72,0.65,0.63
Exceeding Target,0.75,0.68,0.65
Exceeding Target,0.92,0.93,0.84
Meeting Target,0.76,0.87,0.81
Meeting Target,0.75,0.73,0.64
Meeting Target,0.8,0.82,0.73
Exceeding Target,0.81,0.73,0.67
Meeting Target,0.8,0.78,0.64
Meeting Target,0.81,0.85,0.66
Exceeding Target,0.81,0.83,0.64
Exceeding Target,0.8,0.76,0.73
Meeting Target,0.84,0.86,0.77
Approaching Target,0.77,0.77,0.66
Approaching Target,0.79,0.86,0.69
Exceeding Target,0.75,0.73,0.67
Exceeding Target,0.82,0.8,0.72
Approaching Target,0.78,0.88,0.67
Exceeding Target,0.9,0.77,0.86
Approaching Target,0.77,0.82,0.64
Meeting Target,0.78,0.84,0.71
Exceeding Target,0.83,0.82,0.83
Meeting Target,0.74,0.8,0.7
Meeting Target,0.77,0.73,0.56
Exceeding Target,0.86,0.89,0.69
Meeting Target,0.88,0.93,0.87
Not Meeting Target,0.75,0.78,0.75
Exceeding Target,0.84,0.79,0.9
Meeting Target,0.84,0.9,0.75
Exceeding Target,0.82,0.83,0.64
Exceeding Target,0.87,0.87,0.76
Meeting Target,0.85,0.79,0.76
Meeting Target,0.65,0.65,0.72
Exceeding Target,0.94,0.92,0.91
Meeting Target,0.61,0.69,0.68
Not Meeting Target,0.7,0.74,0.61
Meeting Target,0.7,0.59,0.54
Approaching Target,0.66,0.64,0.62
Meeting Target,0.78,0.76,0.67
Exceeding Target,0.91,0.89,0.84
Exceeding Target,0.83,0.91,0.81
Approaching Target,0.83,0.89,0.82
Meeting Target,0.77,0.65,0.68
Meeting Target,0.72,0.59,0.65
Exceeding Target,0.85,0.84,0.82
Meeting Target,0.75,0.7,0.68
Exceeding Target,0.82,0.84,0.7
Meeting Target,0.84,0.86,0.76
Meeting Target,0.78,0.85,0.65
Exceeding Target,0.9,0.94,0.95
Exceeding Target,0.91,0.94,0.86
Meeting Target,0.75,0.81,0.66
Meeting Target,0.76,0.74,0.63
Not Meeting Target,0.9,0.88,0.87
Meeting Target,0.99,0.92,0.94
Approaching Target,0.83,0.87,0.88
Meeting Target,0.8,0.81,0.61
Meeting Target,0.75,0.7,0.6
Exceeding Target,0.79,0.76,0.69
Approaching Target,0.82,0.81,0.78
Exceeding Target,0.92,0.9,0.86
Meeting Target,0.73,0.76,0.7
Meeting Target,0.82,0.74,0.73
Meeting Target,0.83,0.85,0.74
Approaching Target,0.73,0.86,0.62
Meeting Target,0.86,0.81,0.79
Approaching Target,0.89,0.94,0.92
Meeting Target,0.88,0.93,0.94
Approaching Target,0.82,0.81,0.69
Exceeding Target,0.82,0.83,0.73
Approaching Target,0.82,0.92,0.69
Meeting Target,0.82,0.94,0.72
Meeting Target,0.81,0.85,0.66
Approaching Target,0.82,0.83,0.73
Meeting Target,0.75,0.73,0.69
Exceeding Target,0.88,0.94,0.82
Approaching Target,0.86,0.91,0.79
Exceeding Target,0.95,0.91,0.95
Exceeding Target,0.75,0.77,0.7
Exceeding Target,0.91,0.8,0.82
Meeting Target,0.86,0.91,0.86
Meeting Target,0.88,0.92,0.87
Approaching Target,0.84,0.9,0.8
Approaching Target,0.84,0.76,0.77
Approaching Target,0.79,0.77,0.65
Meeting Target,0.81,0.92,0.8
Meeting Target,0.85,0.87,0.77
Exceeding Target,0.77,0.78,0.62
Meeting Target,0.72,0.7,0.61
Exceeding Target,0.75,0.66,0.69
Meeting Target,0.76,0.8,0.8
Meeting Target,0.75,0.67,0.64
Exceeding Target,0.84,0.81,0.71
Approaching Target,0.82,0.85,0.83
Meeting Target,0.88,0.92,0.87
Approaching Target,0.79,0.79,0.73
